molecule_chembl_id,pref_name,canonical_smiles,source,is_linker,standard_smiles
CHEMBL410812,,CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CC(=O)N[C@@H]2C[C@H](C(=O)N[C@@H](Cc3ccccc3)C(=O)O)N(C2)C(=O)[C@@H](Cc2c[nH]cn2)NC1=O)C(C)C,ChEMBL,1,CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1CC(=O)N[C@@H]2C[C@H](C(=O)N[C@@H](Cc3ccccc3)C(=O)O)N(C2)C(=O)[C@@H](Cc2c[nH]cn2)NC1=O)C(C)C
CHEMBL4068171,,C[C@@H]1CN(C(=S)SSC(=S)N2C[C@@H](C)O[C@@H](C)C2)C[C@H](C)O1,ChEMBL,1,C[C@@H]1CN(C(=S)SSC(=S)N2C[C@@H](C)O[C@@H](C)C2)C[C@H](C)O1
CHEMBL3350968,,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,ChEMBL,1,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O
DECOY_00165,Decoy_00165,O=C(CBr)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,Generated_Decoy,0,O=C(CBr)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O
DECOY_00152,Decoy_00152,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)[O-].O.[Na+],Generated_Decoy,0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)[O-].O.[Na+]
DECOY_00557,Decoy_00557,CC(C)Sc1nc2c(c(=O)n(C)c(=O)n2C)n1C,Generated_Decoy,0,CC(C)Sc1nc2c(c(=O)n(C)c(=O)n2C)n1C
DECOY_00577,Decoy_00577,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(C)O,Generated_Decoy,0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(C)O
CHEMBL4762643,,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,ChEMBL,1,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O
DECOY_00041,Decoy_00041,CNCCc1ccc(O)c(O)c1.Cl,Generated_Decoy,0,CNCCc1ccc(O)c(O)c1.Cl
CHEMBL2105639,DIRUCOTIDE,CC[C@H](C)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)C(C)C,ChEMBL,1,CC[C@H](C)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)C(C)C
